publisher_domain,count
paul quintaro,179930
lisa levin,149239
benzinga newsdesk,122424
charles gross,77289
monica gerson,65403
eddie staley,45712
hal lindon,39113
benzinga staff,23144
juan lopez,22657
etf professor,20902
vick meyer,19959
webmaster,16227
zacks,16039
benzinga_newsdesk,15340
jayson derrick,14837
allie wickman,14497
shanthi rexaline,13342
craig jones,12229
nelson hem,10003
wayne duggan,9957
dwight einhorn,9782
michael j. zerinskas,8802
joe young,8675
forex live,7197
david johnson,6961
javier hasse,6756
benzinga.com,6390
laura brodbeck,6356
matthew kennedy,6343
scott rubin,4817
jake l'ecuyer,4546
roger nachman,4477
jonathan chen,3866
garrett cook,3688
benzinga insights,3334
benzinga staff 5,3235
manikandan raman,3054
elizabeth balboa,2966
jj kinahan,2949
benzingastaffj,2927
benzinga news desk,2918
optionsxpress,2897
john seward,2818
freightwaves,2793
jim swanson,2781
matthew kanterman,2644
louis bedigian,2382
daniel hayden iv,2332
benzingastaffl,2241
brett hershman,2232
benjamin lee,2204
r. chandrasekaran,1995
joel elconin,1984
james hunt,1965
emily austin,1850
benzinga staff writer,1835
kevin riley,1723
ceo world,1670
benzingastaff3,1664
inthemoneystocks,1610
gordon wilcox,1533
antónio costa,1524
alex furno,1444
theo kratz,1398
benzingastaffb,1331
tradermark,1327
phil marsh,1274
delores land,1269
bud fox,1237
tanzeel akhtar,1199
fred fuld,1169
taylor cox,1134
abe raymond,1083
david bettencourt,1071
matthew mccall,1055
luke jacobi,929
the ticker tape,911
benzingastafft,906
bill stoller,901
hilary farrell,899
benzinga newdesk,892
tim parker,823
dave royse,816
ezra schwarzbaum,742
investor ideas,719
neer varshney,719
gary cassady,702
erika janowicz,697
chris dier-scalise,676
brad hammond,664
eric niederer,662
minyanville,654
steven anfield,652
jim probasco,623
spencer israel,604
sam mattera,584
invest with an edge,568
swing trader,555
benzingastaff1,544
franklin price,541
mark meadows,539
ritesh anan,538
david fabian,504
jon kashat,492
iam newswire,476
ryan mallory,466
priya nigam,453
viktor puskorius,448
options house,434
andrew efimoff,424
ali berri,412
roger nusbaum,409
jake mann,405
jason shubnell,404
luke j jacobi,397
brett callwood,382
myplaniq,378
amy weingarden,378
jonathan yates,361
shivdeep dhaliwal,358
hannah genig,358
patrick henderson,357
mark raymon,353
covestor,340
shazir mucklai,335
mike butler,330
tipranks,330
tyree gorges,319
john harris,319
kevin mcelroy,315
matt hogan - finbox.io,305
sam liu,305
anthony sanfilippo,302
michael kudrna,282
mark riddix,281
mark fritz,280
premarketinfo,279
mark moneymaster,279
david trainer,272
scout finance,267
john nyaradi,266
ronald weisenstein,263
benzinga staff15,260
rebecca sheppard,254
lydia davidson,250
dave moenning,248
dustin blitchok,246
investor's business daily,246
bill haddad,245
early global news,239
aaron levitt,239
motif investing,233
ian wyatt,226
smallcappower,224
sebastian brown,222
anna gerardi,220
smallcapvoice,216
alex biles,214
bruce kennedy,213
zack armstrong,211
marco anthony,210
social market analytics,208
james hunter,205
oakshire financial,205
investorideas,203
td ameritrade,201
charles enser,200
williambriat,191
brandon pilzner,187
tim melvin,183
jack grant,183
nick lazich,182
spencer white,181
nicholas donato,180
merrick weingarten,177
jason papallo,176
kurt zuschlag,174
nick smith,168
leigh drogen,168
garet zatz,167
davit kirakosyan,166
tabitha jean naylor,164
john thorpe,163
katey stapleton,162
eric mancini,162
clay wyatt,162
renato capelj,160
brianna valleskey,158
charley blaine,155
bryan finnigan,155
vantagepoint,155
benzinga pro newsdesk,153
dhiraj surapaneni,152
jennifer lynn,149
michael r foster,146
kyle dennis,146
marco rabinowitz,146
carpediem,145
j.d. singh,143
lbjacobi,140
spock picks,137
christian tharp cmt,135
ted friedman,135
ilir shkurti,135
ken shreve,133
rich worthington,131
nic chahine,128
hao jin,128
insider monkey,125
chenry4287,120
christina jackson,118
abhi rao,117
zoheb sait,117
stephen castellano,116
frank sylvester,115
asif suria,115
capitalcube,114
luci morland,113
thomas smicklas,113
daniel ho,110
jeff uscher,108
gmail.com,108
david pinsen,108
t3live,106
td ameritrade network,106
investmentcontrarians,104
investingdaily,104
jose rodrigo safdiye,103
sang lucci,103
ali hakim,102
patrick williams,102
eric terbush,101
brettstockblog,100
tuomo kallio,98
ari crane,96
strichie,96
econmatters,96
zignals,95
tpc,94
etf digest,92
george vieira,92
general,91
mrtopstep,89
thomas stein,88
alex shek,88
dylan wittenberg,86
alex oleinic,85
rahul kaundal,82
scotts investments,80
dailyfx,78
charles lewis sizemore cfa,78
the gold report,78
chuck carnevale,77
nitai leve,76
investorsobserver,75
coleneum,75
jay peroni,74
ross cameron - warrior trading,73
sam subramanian,72
brent slava,70
superman,69
market rewind,69
victor nguyen,68
tom white,68
santhosh naikar,68
james mecir,67
matthew bradbard,66
ramon lewis,66
inside ipo,65
llenrock group,65
michael matthews,64
crystal mills,64
kate stalter,62
ophir gottlieb,61
benzingastaffk,61
kory guidry,60
tim thielen,60
george mentz,58
pconfidential,58
jane sanders,57
nina zdinjak,57
christopher brecher,56
harry boxer - thetechtrader.com,55
direxion,55
louis winthorp,55
jay wong,55
andy swan,55
mary meldrum,54
dimarco,53
jeb handwerger,53
m.e. garza,53
the energy report,52
chris versace,52
stockopedia,50
spencer purdy,50
scott loeb,50
alex cho,49
david lipton,49
roger vertes,49
rebecca finn,49
shane,48
steve miller,48
jason raznick1,47
lisa bloom,46
andy pai,46
matt jackson,45
eric bosco,45
prudentinvestor,45
andrew ward,45
nicholas kitonyi,44
bob white,44
george maniere,44
ron acoba,44
amit nag,44
lindsey conger,43
chris poley,43
traders huddle,42
luis aureliano,41
jeff song,41
truth is treason,40
jason raznick,40
mattmccall,40
daniel jennings,40
craig adeyanju,39
victoria novikova,37
pension pulse,37
vlad karpel,35
oanda,33
alexis raskin,33
brian sozzi,32
traderadar,32
ted allrich,31
claire kenney,31
josh wolonick,31
theoptionplayer,30
nicole sherrod,30
randy elias,30
cliff wachtel,30
benzinga cannabis,29
new frontier data,29
wall street mess,29
barry bazzell,28
rachel cunningham,28
george zabel,28
nick esquer,28
robert sancrainte,28
james mcintosh,28
julie waterman,27
jason wulterkens,27
the disciplined investor,27
themoneygardener,27
bryce matulonis,27
henry khederian,26
patrick mortimer,26
greg troccoli,26
mark page,26
mark morelli,26
option wizard,26
fast graphs,26
the critical metals report,26
kyle bazzy,25
zacks small cap research,25
dr. john l faessel,24
joshua brown,24
sean hannon,24
vitaliy katsenelson,24
kyial robinson,24
cooper ziecik,24
joe mccarty,23
christopher dier-scalise,23
econ grapher,23
james ha,23
adam parker,23
activist stocks,23
microcapital,22
jae jun,22
greg harmon,22
steve krause,21
news on news,21
bookingalpha,21
ben reynolds - suredividend.com,21
prudena,20
sleibhin,20
kristin bentz,20
parlorfix,20
tom aspray,20
michael thomsett,20
taipan daily,20
abigail field,20
arshon afrakhteh,20
jeff goldman,19
frank holmes,19
barel karsan,19
learnbonds,19
the cannabis investor,19
marketfy insights,19
richard smith,19
above average odds,18
gobankingrates,18
moneytips,18
brandon cunningham,18
william k. black,18
junior analyst,18
tom shaughnessy,18
samantha scheltema,17
jenna wang,17
natan ponieman,17
brantley foster,17
avi gilburt,17
mdmconsult,17
jaycee tenn,17
bob lang,16
cathy ryan,16
dan moskowitz,16
stock spin offs,16
investing caffeine,15
naufal sanaullah,15
lightspeed trading,15
angry bear,15
jennifer mcdonell,15
allyson brooks,15
khyathi dalal,15
jsq_njoptions,15
weiss crypto,15
edgar roth,15
