publisher,count
Paul Quintaro,179930
Lisa Levin,149239
Benzinga Newsdesk,122424
Charles Gross,77289
Monica Gerson,65403
Eddie Staley,45712
Hal Lindon,39113
Benzinga Staff,23144
Juan Lopez,22657
ETF Professor,20902
Vick Meyer,19959
webmaster,16227
Zacks,16039
Benzinga_Newsdesk,15340
Jayson Derrick,14837
Allie Wickman,14497
Shanthi Rexaline,13342
Craig Jones,12229
Nelson Hem,10003
Wayne Duggan,9957
Dwight Einhorn,9782
Michael J. Zerinskas,8802
Joe Young,8675
Forex Live,7197
David Johnson,6961
Javier Hasse,6756
Laura Brodbeck,6356
Matthew Kennedy,6343
Scott Rubin,4817
Jake L'Ecuyer,4546
Roger Nachman,4477
luke@benzinga.com,4157
Jonathan Chen,3866
Garrett Cook,3688
Benzinga Insights,3334
Benzinga Staff 5,3235
Manikandan Raman,3054
Elizabeth Balboa,2966
JJ Kinahan,2949
BenzingaStaffJ,2927
Benzinga News Desk,2918
optionsXpress,2897
John Seward,2818
FreightWaves,2793
Jim Swanson,2781
Matthew Kanterman,2644
Louis Bedigian,2382
Daniel Hayden IV,2332
BenzingaStaffL,2241
Brett Hershman,2232
Benjamin Lee,2204
R. Chandrasekaran,1995
Joel Elconin,1984
James Hunt,1965
Emily Austin,1850
Benzinga Staff Writer,1835
Kevin Riley,1723
CEO World,1670
BenzingaStaff3,1664
inthemoneystocks,1610
Gordon Wilcox,1533
António Costa,1524
vishwanath@benzinga.com,1490
Alex Furno,1444
Theo Kratz,1398
BenzingaStaffB,1331
tradermark,1327
Phil Marsh,1274
Delores Land,1269
Bud Fox,1237
Tanzeel Akhtar,1199
Fred Fuld,1169
Taylor Cox,1134
Abe Raymond,1083
David Bettencourt,1071
Matthew McCall,1055
Luke Jacobi,929
The Ticker Tape,911
BenzingaStaffT,906
Bill Stoller,901
Hilary Farrell,899
Benzinga Newdesk,892
Tim Parker,823
Dave Royse,816
Ezra Schwarzbaum,742
bret.kenwell@benzinga.com,730
Investor Ideas,719
Neer Varshney,719
Gary Cassady,702
Erika Janowicz,697
Chris Dier-Scalise,676
Brad Hammond,664
Eric Niederer,662
Minyanville,654
Steven Anfield,652
Jim Probasco,623
Spencer Israel,604
Sam Mattera,584
Invest With An Edge,568
Swing Trader,555
BenzingaStaff1,544
Franklin Price,541
Mark Meadows,539
Ritesh Anan,538
David Fabian,504
Jon Kashat,492
IAM Newswire,476
Ryan Mallory,466
Priya Nigam,453
Viktor Puskorius,448
Options House,434
Andrew Efimoff,424
Ali Berri,412
Roger Nusbaum,409
Jake Mann,405
Jason Shubnell,404
Luke J Jacobi,397
Brett Callwood,382
Amy Weingarden,378
MyPlanIQ,378
Jonathan Yates,361
Hannah Genig,358
Shivdeep Dhaliwal,358
Patrick Henderson,357
Mark Raymon,353
Covestor,340
Shazir Mucklai,335
TipRanks,330
Mike Butler,330
Tyree Gorges,319
John Harris,319
Kevin McElroy,315
Matt Hogan - Finbox.io,305
Sam Liu,305
Anthony Sanfilippo,302
Michael Kudrna,282
Mark Riddix,281
Mark Fritz,280
Mark Moneymaster,279
PreMarketInfo,279
David Trainer,272
Scout Finance,267
John Nyaradi,266
Ronald Weisenstein,263
Benzinga Staff15,260
Rebecca Sheppard,254
Lydia Davidson,250
Dave Moenning,248
Dustin Blitchok,246
Investor's Business Daily,246
Bill Haddad,245
Aaron Levitt,239
Early Global News,239
Motif Investing,233
Ian Wyatt,226
SmallCapPower,224
Sebastian Brown,222
Anna Gerardi,220
SmallCapVoice,216
Alex Biles,214
Bruce Kennedy,213
Zack Armstrong,211
Marco Anthony,210
Social Market Analytics,208
Oakshire Financial,205
James Hunter,205
InvestorIdeas,203
TD Ameritrade,201
Charles Enser,200
WilliamBriat,191
Brandon Pilzner,187
Tim Melvin,183
Jack Grant,183
Nick Lazich,182
Spencer White,181
Nicholas Donato,180
Merrick Weingarten,177
Jason Papallo,176
Kurt Zuschlag,174
Leigh Drogen,168
Nick Smith,168
Garet Zatz,167
Davit Kirakosyan,166
Tabitha Jean Naylor,164
John Thorpe,163
Eric Mancini,162
Katey Stapleton,162
Clay Wyatt,162
Renato Capelj,160
Brianna Valleskey,158
Charley Blaine,155
Bryan Finnigan,155
VantagePoint,155
Benzinga Pro Newsdesk,153
Dhiraj Surapaneni,152
Jennifer Lynn,149
Michael R Foster,146
Kyle Dennis,146
Marco Rabinowitz,146
CarpeDiem,145
J.D. Singh,143
lbjacobi,140
Spock Picks,137
Ted Friedman,135
Ilir Shkurti,135
Christian Tharp CMT,135
Ken Shreve,133
Rich Worthington,131
Hao Jin,128
Nic Chahine,128
Insider Monkey,125
chenry4287,120
Christina Jackson,118
Zoheb Sait,117
Abhi Rao,117
Stephen Castellano,116
Frank Sylvester,115
Asif Suria,115
CapitalCube,114
Luci Morland,113
Thomas Smicklas,113
Daniel Ho,110
Jeff Uscher,108
David Pinsen,108
T3LIVE,106
TD Ameritrade Network,106
investingdaily,104
investmentcontrarians,104
Sang Lucci,103
Jose Rodrigo Safdiye,103
Ali Hakim,102
Patrick Williams,102
Eric TerBush,101
brettstockblog,100
Tuomo Kallio,98
strichie,96
vivek.proactive@gmail.com,96
EconMatters,96
Ari Crane,96
Zignals,95
TPC,94
ETF Digest,92
George Vieira,92
General,91
MrTopStep,89
Alex Shek,88
Thomas Stein,88
Dylan Wittenberg,86
Alex Oleinic,85
Rahul Kaundal,82
Scotts Investments,80
The Gold Report,78
DailyFX,78
Charles Lewis Sizemore CFA,78
Chuck Carnevale,77
Nitai Leve,76
coleneum,75
InvestorsObserver,75
Jay Peroni,74
Ross Cameron - Warrior Trading,73
Sam Subramanian,72
Brent Slava,70
superman,69
Market Rewind,69
Santhosh Naikar,68
Tom White,68
Victor Nguyen,68
James Mecir,67
Matthew Bradbard,66
Ramon Lewis,66
Inside IPO,65
Llenrock Group,65
Michael Matthews,64
Crystal Mills,64
Kate Stalter,62
BenzingaStaffK,61
Ophir Gottlieb,61
Kory Guidry,60
Tim Thielen,60
pconfidential,58
George Mentz,58
Jane Sanders,57
Nina Zdinjak,57
Christopher Brecher,56
Direxion,55
Andy Swan,55
Louis Winthorp,55
Jay Wong,55
Harry Boxer - TheTechTrader.com,55
Mary Meldrum,54
M.E. Garza,53
dimarco,53
Jeb Handwerger,53
Chris Versace,52
The Energy Report,52
Spencer Purdy,50
Scott Loeb,50
Stockopedia,50
Rebecca Finn,49
Alex Cho,49
Roger Vertes,49
David Lipton,49
Shane,48
Steve Miller,48
Jason Raznick1,47
Lisa Bloom,46
Andy Pai,46
Eric Bosco,45
prudentinvestor,45
Andrew Ward,45
Matt Jackson,45
George Maniere,44
Nicholas Kitonyi,44
Ron Acoba,44
Bob White,44
Amit Nag,44
Lindsey Conger,43
Chris Poley,43
Traders Huddle,42
Jeff Song,41
Luis Aureliano,41
MattMcCall,40
Jason Raznick,40
Daniel Jennings,40
Truth is Treason,40
Craig Adeyanju,39
Pension Pulse,37
Victoria Novikova,37
Vlad Karpel,35
OANDA,33
Alexis Raskin,33
Brian Sozzi,32
TradeRadar,32
Claire Kenney,31
Josh Wolonick,31
Ted Allrich,31
Cliff Wachtel,30
TheOptionPlayer,30
Randy Elias,30
Nicole Sherrod,30
Wall Street Mess,29
Benzinga Cannabis,29
New Frontier Data,29
Nick Esquer,28
George Zabel,28
James McIntosh,28
Barry Bazzell,28
Rachel Cunningham,28
Robert Sancrainte,28
The Disciplined Investor,27
Jason Wulterkens,27
